"[ 0.00891357  0.08824448 -0.08783332  0.01156054 -0.01092556  0.04343607
  0.07057194  0.06960116  0.13167705 -0.0755206  -0.01926309 -0.01910153
  0.01592788 -0.03725776 -0.0401748  -0.03448448 -0.07333276 -0.00714162
  0.053952    0.05607181]","[('13222', 0.9573148488998413), ('11648', 0.9527716636657715), ('6852', 0.9514240622520447), ('6100', 0.9493114352226257), ('1164', 0.9454622268676758), ('22020', 0.94379723072052), ('18198', 0.9432845711708069), ('28092', 0.9426352977752686), ('16404', 0.9415525197982788), ('27228', 0.9415221810340881)]"
"[ 0.03708421  0.10338283  0.11483398 -0.23854013  0.10872056  0.144209
 -0.05698599 -0.10321639  0.08826062 -0.01428959  0.05158515 -0.17098646
  0.13696091  0.10619307 -0.06963503  0.04975773  0.08666056 -0.04562112
 -0.04209124  0.01214911]","[('1231', 0.6889814138412476), ('2759', 0.6800761222839355), ('20501', 0.6800321340560913), ('13413', 0.6609740257263184), ('7767', 0.6593849658966064), ('26379', 0.6494573354721069), ('12975', 0.6418009996414185), ('17187', 0.6383936405181885), ('17998', 0.6331384181976318), ('5723', 0.6241273880004883)]"
"[-0.00497798  0.10061648 -0.11488907  0.0324452  -0.03749349  0.01627468
  0.08438405  0.06356531  0.12114293 -0.06286748 -0.0197593  -0.00724248
  0.03336886 -0.01542992 -0.01152877 -0.05158845 -0.07865517 -0.00659535
  0.04817806  0.0464837 ]","[('2842', 0.9517085552215576), ('11648', 0.9469830393791199), ('27812', 0.9449040293693542), ('7866', 0.9434928297996521), ('27456', 0.9430782198905945), ('27078', 0.9413381814956665), ('17478', 0.9402779340744019), ('22020', 0.9397016763687134), ('1124', 0.9395217299461365), ('5466', 0.9392926692962646)]"
"[ 0.07259247 -0.02113031 -0.06862346  0.08200119  0.05493363 -0.00549526
 -0.03615094  0.01581043  0.01445063 -0.05105558  0.00810123  0.07500368
  0.02025872  0.00456074 -0.01184631 -0.05486192 -0.09265985  0.11090388
  0.03930211  0.00312529]","[('7384', 0.8739006519317627), ('13600', 0.8461835384368896), ('18626', 0.8069509863853455), ('3700', 0.8052695989608765), ('23414', 0.7806537747383118), ('15868', 0.7787814736366272), ('13957', 0.776925265789032), ('3550', 0.7746297717094421), ('13816', 0.7694616317749023), ('3374', 0.7685127258300781)]"
"[ 0.02492305  0.03543147 -0.10922514 -0.00292368  0.03776057  0.05240712
  0.07202809  0.05788608  0.14380799 -0.01858397  0.01855325 -0.02392851
 -0.00514136 -0.00450158 -0.00299992 -0.01237554 -0.07002193 -0.008983
  0.02759322  0.0489933 ]","[('11286', 0.9426209926605225), ('11084', 0.9421228170394897), ('11452', 0.9382347464561462), ('10126', 0.9370355606079102), ('14718', 0.9363807439804077), ('7276', 0.9363054037094116), ('20788', 0.9328324198722839), ('14878', 0.9315373301506042), ('27228', 0.9312866926193237), ('13236', 0.9307266473770142)]"
"[-0.04585287  0.08676101 -0.12054281  0.0325462   0.03746453  0.02430408
  0.04686769  0.09604057  0.12949069 -0.01590723 -0.02441229 -0.01006482
 -0.04303471 -0.01329392 -0.00556475 -0.00488855 -0.05617475  0.01127295
  0.04511767  0.07610669]","[('12950', 0.9729675054550171), ('25512', 0.9716286063194275), ('20114', 0.9664052724838257), ('11628', 0.9652788639068604), ('19326', 0.9615957736968994), ('11926', 0.961175262928009), ('25906', 0.9609370231628418), ('28234', 0.9601653814315796), ('8460', 0.9592109322547913), ('7446', 0.9583433866500854)]"
"[ 0.02050132  0.07686039  0.11541319 -0.20054778  0.10645141  0.11067257
  0.02714222 -0.06288321  0.10954719  0.03272234  0.07151054 -0.14415571
  0.1661191   0.11490824 -0.04260138  0.12166501  0.11241271  0.00767074
  0.03211958  0.05021512]","[('17187', 0.6986075043678284), ('26287', 0.6884996891021729), ('13349', 0.6862292885780334), ('7767', 0.6813160181045532), ('12975', 0.6788651347160339), ('13413', 0.6765222549438477), ('22057', 0.6740607023239136), ('28069', 0.6723530292510986), ('8309', 0.6654310822486877), ('20501', 0.6647518873214722)]"
"[ 0.00807958  0.05699383 -0.10568953  0.06205615  0.05443322 -0.02889816
  0.06773069  0.07693888  0.15609491 -0.05650048  0.0175405  -0.00916172
 -0.00278161  0.02925718 -0.0095283  -0.01141508 -0.03982751  0.00576742
  0.03527216  0.04861606]","[('3964', 0.9500554800033569), ('20148', 0.948586642742157), ('9906', 0.9462504386901855), ('1674', 0.9454003572463989), ('7484', 0.9443638920783997), ('21908', 0.9428367614746094), ('4316', 0.9423039555549622), ('4012', 0.9397596120834351), ('13278', 0.9394453167915344), ('27784', 0.9387809038162231)]"
"[ 0.02966996  0.02145225 -0.07697912  0.04822439 -0.01532525 -0.00558618
  0.02334064 -0.00071205  0.09412225 -0.15887658 -0.08166575 -0.03175016
  0.0446372  -0.01699253 -0.01685905  0.00680327 -0.07631525 -0.01414737
  0.04291431  0.03690625]","[('18810', 0.8870456218719482), ('21674', 0.878203809261322), ('344', 0.8728244304656982), ('10216', 0.8684545755386353), ('14666', 0.8668545484542847), ('27682', 0.8648229241371155), ('28348', 0.8645266890525818), ('20440', 0.8644183874130249), ('24918', 0.8640387058258057), ('11046', 0.8604036569595337)]"
"[-0.01020411  0.0121746   0.14855878 -0.12095281  0.06399535  0.03352514
 -0.11825482 -0.08815151  0.04233288 -0.03984905  0.17079143  0.14768614
  0.20688078  0.11058913  0.02595425 -0.07550062  0.03700889  0.0036902
 -0.17026794 -0.0596187 ]","[('7338', 0.7674039602279663), ('2131', 0.7550693154335022), ('1909', 0.7294834852218628), ('13081', 0.7236777544021606), ('6293', 0.7158937454223633), ('13', 0.7107288837432861), ('25373', 0.7048649787902832), ('26339', 0.7032036185264587), ('19757', 0.7026180028915405), ('3271', 0.6992292404174805)]"
"[-0.09350216  0.07779558 -0.0882824  -0.0267687  -0.04205085 -0.13636574
 -0.02111268 -0.05985518 -0.09690474 -0.16207945 -0.08254675 -0.01022439
  0.12186236 -0.1185265   0.06235523 -0.00056908  0.04146558 -0.06500768
 -0.05704185  0.10250692]","[('14459', 0.7571396827697754), ('12463', 0.7483939528465271), ('93', 0.7431156039237976), ('19715', 0.7274243831634521), ('8415', 0.7236202955245972), ('27339', 0.7147315144538879), ('26887', 0.7071706056594849), ('7591', 0.6960651874542236), ('19255', 0.6928013563156128), ('20811', 0.6829819679260254)]"
"[-0.01791235  0.01769465 -0.04179674  0.06992093 -0.09266296 -0.02088157
 -0.02590592 -0.04171104  0.07808238 -0.05189253 -0.04191658  0.07829567
  0.0198333  -0.03011668 -0.10697813 -0.04073943 -0.0141035   0.10453306
  0.0169336  -0.02758467]","[('21017', 0.7914242744445801), ('10012', 0.7855043411254883), ('6020', 0.7809332609176636), ('2798', 0.7637542486190796), ('4696', 0.7561390399932861), ('28030', 0.7449760437011719), ('5115', 0.7412154674530029), ('25362', 0.736548662185669), ('6010', 0.7308238744735718), ('11400', 0.7279930114746094)]"
"[ 0.01966988  0.08309826 -0.23836921  0.01331793  0.10862155  0.09977251
  0.04610558  0.15644385  0.16963884 -0.05705943 -0.1160092  -0.17207389
 -0.0707726  -0.04419956 -0.00098294  0.01059783 -0.03827995 -0.0475276
 -0.02809814  0.09716348]","[('4260', 0.8983746767044067), ('7596', 0.8959006071090698), ('25344', 0.8910822868347168), ('17726', 0.8890833854675293), ('266', 0.8879302144050598), ('24284', 0.8789966106414795), ('10212', 0.8783081769943237), ('7076', 0.8779875636100769), ('26504', 0.8755926489830017), ('25448', 0.8739138245582581)]"
"[-0.01546288 -0.05135721 -0.00019997 -0.02624747 -0.09852571  0.04173579
 -0.04894349 -0.14624177 -0.06858126 -0.00240883 -0.04033774  0.05153863
  0.12941147  0.02394439 -0.0434049  -0.02242303  0.04417374 -0.00217507
  0.01943225 -0.11784311]","[('26993', 0.7756180763244629), ('11902', 0.7580671906471252), ('26485', 0.7448996305465698), ('944', 0.7249658107757568), ('24073', 0.7099500894546509), ('14001', 0.7077107429504395), ('16551', 0.7027329206466675), ('11765', 0.700518012046814), ('2411', 0.6966507434844971), ('20237', 0.6940150260925293)]"
